iter	Passed	Remaining
447	1142	1408
448	1145	1405
449	1147	1402
450	1150	1399
451	1152	1397
452	1154	1394
453	1157	1391
454	1160	1389
455	1162	1387
456	1165	1384
457	1167	1381
458	1169	1378
459	1172	1376
460	1175	1374
461	1177	1371
462	1180	1368
463	1182	1365
464	1184	1363
465	1187	1360
466	1189	1357
467	1192	1355
468	1194	1352
469	1196	1349
470	1199	1346
471	1201	1344
472	1204	1341
473	1206	1338
474	1208	1335
475	1210	1333
476	1213	1330
477	1215	1327
478	1217	1324
479	1220	1322
480	1223	1320
481	1225	1317
482	1228	1314
483	1230	1311
484	1232	1309
485	1235	1306
486	1237	1304
487	1240	1301
488	1242	1298
489	1244	1295
490	1247	1293
491	1249	1290
492	1252	1287
493	1254	1284
494	1256	1282
495	1260	1280
496	1262	1278
497	1265	1275
498	1267	1272
499	1270	1270
500	1272	1267
501	1274	1264
502	1277	1262
503	1279	1259
504	1282	1257
505	1285	1254
506	1287	1251
507	1290	1249
508	1292	1246
509	1295	1244
510	1297	1241
511	1300	1239
512	1302	1236
513	1304	1233
514	1307	1231
515	1309	1228
516	1312	1226
517	1314	1223
518	1317	1220
519	1319	1218
520	1322	1215
521	1324	1212
522	1326	1210
523	1329	1207
524	1331	1204
525	1334	1202
526	1336	1199
527	1338	1196
528	1341	1194
529	1343	1191
530	1346	1189
531	1348	1186
532	1351	1184
533	1353	1181
534	1356	1179
535	1359	1176
536	1362	1174
537	1364	1171
538	1366	1169
539	1369	1166
540	1371	1163
541	1374	1161
542	1376	1158
543	1379	1156
544	1381	1153
545	1384	1151
546	1387	1148
547	1389	1146
548	1392	1143
549	1394	1140
550	1397	1138
551	1399	1135
552	1402	1133
553	1404	1130
554	1407	1128
555	1409	1125
556	1412	1123
557	1415	1121
558	1418	1119
559	1421	1116
560	1424	1114
561	1427	1112
562	1429	1109
563	1432	1107
564	1435	1105
565	1438	1102
566	1441	1100
567	1444	1098
568	1448	1096
569	1450	1094
570	1453	1091
571	1456	1089
572	1458	1087
573	1462	1085
574	1466	1083
575	1469	1081
576	1472	1079
577	1475	1077
578	1478	1075
579	1481	1072
580	1483	1069
581	1486	1067
582	1488	1064
583	1490	1062
584	1494	1059
585	1497	1057
586	1499	1055
587	1501	1052
588	1504	1049
589	1506	1047
